id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
1024721,Monolith,"A desperate young journalist turns to podcasting to salvage her career, but her rush to make headlines leads her to an alien conspiracy.","['Horror', 'Mystery', 'Science Fiction', 'Thriller']",6.083,150,2023-10-26,en,3.8578,False,94,0,12480,"['Lily Sullivan', 'Ling Cooper Tang', 'Ansuya Nathan', 'Erik Thomson', 'Terence Crawford']",Matt Vesely,"['journalist', 'alien conspiracy', 'podcast']",https://image.tmdb.org/t/p/w500/zKpLzzX1va6gkMJiI9p3DudqChe.jpg
411873,The Little Hours,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.",['Comedy'],5.846,582,2017-06-30,en,3.8574,False,90,0,1647675,"['Alison Brie', 'Dave Franco', 'Kate Micucci', 'Aubrey Plaza', 'John C. Reilly']",Jeff Baena,"['based on novel or book', 'middle ages (476-1453)', 'convent (nunnery)', 'nunhood', '14th century', 'anachronistic', 'medieval italy', 'lighthearted', 'whimsical', 'complicated']",https://image.tmdb.org/t/p/w500/wS69OOwBJzimoLIcmYMSVkmhCZM.jpg
2082,Halloween,"The early years of young Michael Myers and the events leading up to his fateful Halloween night murder rampage in the quiet town of Haddonfield, Illinois.",['Horror'],6.217,2397,2007-08-31,en,3.8558,False,110,15000000,80460948,"['Malcolm McDowell', 'Sheri Moon Zombie', 'William Forsythe', 'Tyler Mane', 'Scout Taylor-Compton']",Rob Zombie,"['mask', 'escape', 'sadism', 'psychopath', 'halloween', 'babysitter', 'cowardliness', 'cruelty', 'maniac', 'reboot', 'duringcreditsstinger', 'disturbed child', 'holiday horror']",https://image.tmdb.org/t/p/w500/cD8JrfSEI4j7WVnKM1GdiYzMoUh.jpg
97367,The Place Beyond the Pines,"A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.","['Drama', 'Crime']",7.0,4889,2013-03-20,en,3.8553,False,140,15000000,47135966,"['Ryan Gosling', 'Eva Mendes', 'Bradley Cooper', 'Rose Byrne', 'Ray Liotta']",Derek Cianfrance,"['corruption', 'parent child relationship', 'hostage', 'motel', 'carnival', 'stuntman', 'house party', 'mechanic', 'religion', 'bag of money', 'motorcycle', 'police officer', 'bank robbery', 'rookie cop', 'haunted by the past', 'legacy', 'evidence room', 'dreary', 'tragic', 'diverging narrative']",https://image.tmdb.org/t/p/w500/vY5j2xQzMGWmxBuhQo0HfA4Lxqb.jpg
9437,Kiss the Girls,"Forensic psychologist and detective Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.","['Thriller', 'Crime', 'Mystery', 'Drama']",6.532,1694,1997-09-29,en,3.8553,False,115,27000000,60527873,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Alex McArthur', 'Tony Goldwyn']",Gary Fleder,"['based on novel or book', 'escape', 'kidnapping', 'detective', 'fbi', 'investigation', 'north carolina', 'psychologist', 'serial killer', 'psychological thriller', 'los angeles, california', 'doctor', 'kickboxing', 'missing person', 'uncle niece relationship', 'police psychologist', 'homicide investigation', 'psychological detective', 'psychological profiling']",https://image.tmdb.org/t/p/w500/25h5I3E3ydhazsPDnscWHivq5pn.jpg
193610,The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.","['Comedy', 'Romance']",6.428,3584,2014-04-16,en,3.8548,False,109,40000000,196800000,"['Cameron Diaz', 'Leslie Mann', 'Kate Upton', 'Nikolaj Coster-Waldau', 'Don Johnson']",Nick Cassavetes,"['infidelity', 'revenge', 'unfaithful boyfriend', 'extramarital affair', 'unfaithful husband']",https://image.tmdb.org/t/p/w500/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg
13078,The Babysitters,"Seventeen-year-old Shirley is a good student who works as a babysitter in order to make money for college. One night Michael, a father Shirley works for, confesses he's unhappy with married life. Shirley has a crush on Michael, and seizes this moment to kiss him. Michael is so happy he presents Shirley with a big tip, which gives her an idea. Shirley plans to make extra money by setting up her teenage friends with other unhappy fathers.",['Drama'],6.0,506,2008-05-09,en,3.8538,False,88,0,44852,"['John Leguizamo', 'Katherine Waterston', 'Cynthia Nixon', 'Andy Comeau', ""Denis O'Hare""]",David Ross,"['daughter', 'adultery', 'high school', 'babysitter', 'business idea', 'cabin', 'statutory rape', 'train', 'prostitution', 'older man younger woman relationship', 'drugs', 'teenage sexuality', 'unhappy marriage']",https://image.tmdb.org/t/p/w500/nsrNUqGXI95unRKZEu8BJ584xWn.jpg
10610,The Medallion,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,"['Thriller', 'Fantasy', 'Action', 'Comedy']",5.6,1105,2003-08-15,en,3.8531,False,88,38000000,34300000,"['Jackie Chan', 'Lee Evans', 'Claire Forlani', 'Christy Chung Lai-Tai', 'Julian Sands']",Gordon Chan,"['medallion', 'martial arts', 'leather jacket', 'immortality', 'detective', 'fighter', 'wretch', 'resurrection', 'interpol', 'slapstick comedy', 'fighting', 'super power', 'wizard', 'superhuman strength', 'warrior', 'action hero']",https://image.tmdb.org/t/p/w500/lbjFWKfe8WdS8Pj6WVPlyEKeVEo.jpg
525686,My Cousin the Sexologist,"Two cousins began to discover their sexuality together in adolescence and they reunite after ten years: he only recently returned to bachelorhood, and she returned from Buenos Aires, where she opted to specialize in Sexology.","['Comedy', 'Drama']",6.779,507,2016-07-20,es,3.8512,False,104,15000,35749,"['Stephanie Herela', 'Andrés Salvatierra', 'Majelo Quiróz', 'Kimberly Aguilera', 'Joaquín Machado']",Miguel Chávez,"['eroticism', 'psychology', 'cousin', 'cousin cousin relationship', 'sexual education', 'erotic comedy']",https://image.tmdb.org/t/p/w500/aGrmPhmGeIfHscBBuMnSSW4Fg6w.jpg
449562,The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""","['Comedy', 'Crime']",6.19,2537,2019-05-09,en,3.8503,False,94,21000000,97400000,"['Rebel Wilson', 'Anne Hathaway', 'Kumud Pant', 'Alex Sharp', 'Ingrid Oliver']",Chris Addison,"['bet', 'competition', 'con artist', 'swindler', 'remake', 'psychotic', 'aftercreditsstinger', 'aggressive', 'con woman', 'absurd', 'amused', 'farcical', 'pretentious']",https://image.tmdb.org/t/p/w500/qZniBGQRESLIfxw6GeZLZ2G1osa.jpg
81481,Silenced,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",['Drama'],8.13,667,2011-09-22,ko,3.8487,False,125,2200000,31500000,"['Gong Yoo', 'Jung Yu-mi', 'Kim Hyun-soo', 'Jung In-seo', 'Baek Seung-hwan']",Hwang Dong-hyuk,"['child abuse', 'rape', 'based on novel or book', 'deaf', 'based on true story', 'teacher student relationship', 'disability', 'sex crime', 'south korea']",https://image.tmdb.org/t/p/w500/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg
