id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
225886,Sex Tape,"When Jay and Annie first got together, their romantic connection was intense – but ten years and two kids later, the flame of their love needs a spark.  To kick things up a notch, they decide – why not? – to make a video of themselves trying out every position in The Joy of Sex in one marathon three-hour session.  It seems like a great idea – until they discover that their most private video is no longer private.  With their reputations on the line, they know they’re just one click away from being laid bare to the world... but as their race to reclaim their video leads to a night they'll never forget, they'll find that their video will expose even more than they bargained for.",['Comedy'],5.41,4085,2014-07-17,en,7.1489,False,94,40000000,126069509,"['Cameron Diaz', 'Jason Segel', 'Rob Corddry', 'Ellie Kemper', 'Rob Lowe']",Jake Kasdan,"['marriage', 'internet', 'relationship', 'family', 'sex tape']",https://image.tmdb.org/t/p/w500/pFdS7SIdjcrYXtf141dabWVly9B.jpg
23823,Wrong Turn 3: Left for Dead,"A group of people find themselves trapped in the backwoods of West Virginia, fighting for their lives against a group of vicious and horribly disfigured inbred cannibals.","['Horror', 'Thriller']",5.671,1184,2009-10-08,en,8.2598,False,91,3000000,0,"['Tom Frederic', 'Janet Montgomery', 'Louise Cliffe', 'Jack Gordon', 'Emma Clifford']",Declan O'Brien,"['sheriff', 'river', 'penitentiary', 'forest', 'west virginia', 'woods', 'slasher', 'hillbilly', 'cannibal', 'survival horror', 'voyeur', 'molotov cocktail', 'criminal trio', 'criminals']",https://image.tmdb.org/t/p/w500/84s4LMWuGbm4xPWW5PSbHyQhh33.jpg
393,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.","['Action', 'Crime', 'Thriller']",7.874,14169,2004-04-16,en,8.2588,False,136,30000000,152159461,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen', 'Gordon Liu Chia-Hui']",Quentin Tarantino,"['daughter', 'martial arts', 'kung fu', 'showdown', 'right and justice', 'rage and hate', 'sibling relationship', 'swordplay', 'katana', 'mother role', 'single', 'sword fight', 'revenge', 'vigilante', 'retribution', 'aftercreditsstinger', 'duringcreditsstinger', 'reflective', 'kill bill', 'hilarious']",https://image.tmdb.org/t/p/w500/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg
12139,Dennis the Menace,Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.,"['Family', 'Comedy']",5.856,1478,1993-06-09,en,8.2494,False,94,35000000,117270765,"['Walter Matthau', 'Mason Gamble', 'Joan Plowright', 'Christopher Lloyd', 'Lea Thompson']",Nick Castle,"['babysitter', 'based on comic', 'slingshot']",https://image.tmdb.org/t/p/w500/t642WwGifbQ2fEuKTJRgpPzsgtX.jpg
13448,Angels & Demons,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.","['Thriller', 'Mystery']",6.714,6898,2009-04-23,en,8.2446,False,138,150000000,485930816,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino']",Ron Howard,"['based on novel or book', 'rome, italy', 'vatican', 'symbolism', 'illuminati', 'quantum mechanics', 'prequel', 'anti matter', 'conspiracy', 'investigator', 'catholicism', 'cern']",https://image.tmdb.org/t/p/w500/tFZQAuulEOtFTp0gHbVdEXwGrYe.jpg
782,Gattaca,"Vincent is an all-too-human man who dares to defy a system obsessed with genetic perfection. He is an ""In-Valid"" who assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation.","['Thriller', 'Science Fiction', 'Mystery', 'Romance']",7.559,6469,1997-09-07,en,8.2432,False,106,36000000,12532777,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Alan Arkin', 'Loren Dean']",Andrew Niccol,"['genetics', 'cheating', 'paraplegic', 'suicide attempt', 'dystopia', 'dna', 'new identity', 'investigation', 'heart disease', 'spaceman', 'fraud', 'space travel', 'fake identity', 'in vitro fertilisation', 'biotechnology', 'space mission', 'space', 'astronaut', 'swimming', 'exercise', 'eugenics', 'murder investigation', 'discrimination', 'brother brother relationship', 'authoritarian']",https://image.tmdb.org/t/p/w500/eSKr5Fl1MEC7zpAXaLWBWSBjgJq.jpg
159824,Hotel Transylvania 2,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.","['Animation', 'Comedy', 'Family', 'Fantasy']",6.766,5829,2015-09-21,en,7.6245,False,89,80000000,473200000,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Steve Buscemi']",Genndy Tartakovsky,"['hotel', 'witch', 'skeleton', 'magic', 'transylvania', 'technology', 'marriage', 'mummy', 'only child', 'backpacker', 'wolfman', 'zombie', 'moving out', 'invisible person', 'new life', 'dracula']",https://image.tmdb.org/t/p/w500/3nFnrivNgipSKZ8LZJJbRSlAcTR.jpg
76163,The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","['Action', 'Adventure', 'Thriller']",6.344,6806,2012-08-08,en,8.2278,False,103,100000000,314975955,"['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris']",Simon West,"['airplane', 'loss of loved one', 'mercenary', 'airplane crash', 'beard', 'wisecrack humor', 'airport lounge', 'asian woman']",https://image.tmdb.org/t/p/w500/74rTIGyGoIu5KSxDVMdr8H3MtMo.jpg
1014590,Upgraded,"Ana is an ambitious intern dreaming of a career in the art world while trying to impress her demanding boss Claire. When she's upgraded to first class on a work trip, she meets handsome Will, who mistakes Ana for her boss– a white lie that sets off a glamorous chain of events, romance and opportunity, until her fib threatens to surface.","['Romance', 'Comedy']",7.221,881,2024-02-07,en,8.2271,False,105,0,0,"['Camila Mendes', 'Archie Renaux', 'Marisa Tomei', 'Lena Olin', 'Anthony Stewart Head']",Carlson Young,"['female protagonist', 'intern', 'woman director']",https://image.tmdb.org/t/p/w500/uhOXS17gRpTwA85WsZLlYFK3rz0.jpg
324558,X-Rated: The Greatest Adult Movies of All Time,"The evolution of adult cinema through the most influential films in history, a journey that begins in the 1970s and ends nowadays. An in-depth analysis of the success of the most prestigious erotic films, their impact on industry and society, and their influence on cinema and contemporary culture.",['Documentary'],6.5,187,2015-02-06,en,8.2249,False,94,0,0,"['Chanel Preston', 'Christy Canyon', 'Georgina Spelvin', 'Janine Lindemulder', 'Jenna Jameson']",Eli Cross,"['pornography', 'interview', 'filmmaking', 'adult filmmaking']",https://image.tmdb.org/t/p/w500/1UgdqTHgwNivULiZvNcJ0Mj3skl.jpg
