id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
8065,21,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack.","['Drama', 'Crime']",6.688,4736,2008-03-27,en,5.2453,False,123,35000000,159808370,"['Jim Sturgess', 'Kevin Spacey', 'Kate Bosworth', 'Aaron Yoo', 'Liza Lapira']",Robert Luketic,"['friendship', 'card game', 'casino', 'gambling', 'professor', 'harvard university', 'cohabitant', 'college', 'girlfriend', 'studies', 'dormitory', 'blackjack', 'las vegas', 'derogatory', 'frustrated']",https://image.tmdb.org/t/p/w500/BQzE6oTStXIZ5dqjXmRIVp19YB.jpg
399402,Hunter Killer,"Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war.","['Action', 'Adventure', 'Thriller']",6.895,2213,2018-10-19,en,5.336,False,121,40000000,31672678,"['Gerard Butler', 'Gary Oldman', 'Toby Stephens', 'Common', 'Linda Cardellini']",Donovan Marsh,"['sniper', 'washington dc, usa', 'submarine', 'pentagon', 'u.s. navy', 'special forces', 'russian army', 'naval base', 'russian president', 'post cold war']",https://image.tmdb.org/t/p/w500/a0j18XNVhP4RcW3wXwsqT0kVoQm.jpg
794,The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.","['Horror', 'Thriller']",7.408,2185,1976-06-25,en,5.2412,False,111,2800000,60922980,"['Gregory Peck', 'Lee Remick', 'David Warner', 'Billie Whitelaw', 'Harvey Stephens']",Richard Donner,"['ambassador', 'prophecy', 'monk', 'photography', 'nanny', 'paranormal phenomena', 'rottweiler', ""devil's son"", 'revelation', 'satan', 'anti-christ', 'decapitation', 'priest', 'religion', 'cowardliness', 'devil', 'baboon', 'archaeologist', 'awestruck', '666']",https://image.tmdb.org/t/p/w500/mDcjjEu1fMNmsXi4l4D8IftlTix.jpg
554600,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.","['Action', 'Drama', 'War']",7.0,435,2019-01-11,hi,5.237,False,138,0,0,"['Vicky Kaushal', 'Paresh Rawal', 'Yami Gautam', 'Kirti Kulhari', 'Mohit Raina']",Aditya Dhar,"['army', 'based on true story', 'terrorism', 'india', 'terrorist attack', 'indian army', 'vindictive', 'bollywood']",https://image.tmdb.org/t/p/w500/yNySAgpAnWmPpYinim9E0tUzJWG.jpg
14438,Fireproof,"A heroic fire captain values dedication and service to others above all else, but the most important partnership in his life, his marriage, is about to go up in smoke.","['Drama', 'Romance']",7.7,772,2008-09-26,en,5.237,False,118,500000,33473297,"['Kirk Cameron', 'Erin Bethea', 'Ken Bevel', 'Stephen Dervan', 'Ric Young']",Alex Kendrick,"['fire', 'husband wife relationship', 'parent child relationship', 'faith', 'marriage', 'religious conversion', 'advice', 'dysfunctional marriage', 'religion', 'hospital', 'marital problem', 'firefighter', 'christian film', 'christian']",https://image.tmdb.org/t/p/w500/hfoCG75j1YaNyfZGPg0rWy3nFmU.jpg
11459,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.","['Adventure', 'Comedy', 'Family']",6.25,2334,2005-07-29,en,5.2295,False,99,35000000,86369815,"['Michael Angarano', 'Mary Elizabeth Winstead', 'Kurt Russell', 'Kelly Preston', 'Danielle Panabaker']",Mike Mitchell,"['high school', 'friendship', 'mission', 'superhero', 'loyalty', 'mockery', 'heroism', 'friends', 'super power']",https://image.tmdb.org/t/p/w500/nBB0XNMwvYvWpo67EcxQqKMoMKf.jpg
130150,Labor Day,Two two strangers are drawn together under incredible circumstances. What starts as an unforeseen encounter over a long holiday weekend soon becomes a second chance love story.,"['Drama', 'Romance', 'Thriller']",7.002,1197,2013-12-27,en,5.229,False,111,18000000,20275812,"['Kate Winslet', 'Josh Brolin', 'Gattlin Griffith', 'Tobey Maguire', 'Tom Lipinski']",Jason Reitman,"['based on novel or book', 'country house', 'suspicion', 'loss', 'escaped convict', 'single mother', 'tragic event', 'divorcee', 'teenage boy', 'recluse', 'father figure', 'life changing', 'depressed mom', 'police search', 'mother son relationship']",https://image.tmdb.org/t/p/w500/iQdbCtk1Q3TdZRBKSLU1Vh870l7.jpg
460846,Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.","['Action', 'Thriller', 'Crime']",6.334,904,2017-03-04,en,5.2289,False,87,15000000,0,"['Antonio Banderas', 'Ben Kingsley', 'Liam McIntyre', 'Chad Lindberg', 'Gabriella Wright']",Alain Desrochers,"['shopping mall', 'security guard', 'witness elimination']",https://image.tmdb.org/t/p/w500/9FN5n8wGYrfSJaKGF9uObdKimIh.jpg
1581,The Holiday,"Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.","['Comedy', 'Romance']",7.092,5252,2006-12-05,en,5.2282,False,136,85000000,205219880,"['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach']",Nancy Meyers,"['london, england', 'holiday', 'movie business', 'christmas party', 'country house', 'vacation', 'surrey', 'romance', 'los angeles, california', 'multiple storylines', 'woman director', 'christmas', 'christmas romance', 'house swapping', 'holiday romance']",https://image.tmdb.org/t/p/w500/h1ITOpvJN3Tw4Sy60w2QTfYMvdd.jpg
8488,Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.","['Comedy', 'Drama', 'Romance']",6.566,5872,2005-02-11,en,5.226,False,118,70000000,371600000,"['Will Smith', 'Eva Mendes', 'Kevin James', 'Amber Valletta', 'Julie Ann Emery']",Andy Tennant,"['romcom', 'speed date', 'dating', 'romantic']",https://image.tmdb.org/t/p/w500/x3W9H3nhGQbWSlyI8Amp2F6Z6cz.jpg
522402,Finch,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.","['Science Fiction', 'Drama', 'Adventure']",7.851,3645,2021-11-04,en,5.2257,False,115,2500000,0,"['Tom Hanks', 'Caleb Landry Jones', 'Oscar Avila', 'Lora Martinez-Cunningham', 'Marie Wagenman']",Miguel Sapochnik,"['post-apocalyptic future', 'robot', 'taunting', 'questioning', 'journey', 'speculative', 'humanity', 'unassuming', 'reflective', 'wistful', 'provocative', 'witty', 'sinister', 'whimsical', 'pretentious', 'sincere', 'skeptical', 'straightforward', 'sympathetic', 'tragic', 'vibrant']",https://image.tmdb.org/t/p/w500/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg
508642,Gonjiam: Haunted Asylum,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.","['Horror', 'Mystery']",7.293,750,2018-03-28,ko,5.2253,False,95,0,21041950,"['Wi Ha-jun', 'Park Ji-hyun', 'Oh Ah-yeon', 'Moon Ye-won', 'Park Sung-hoon']",Jung Bum-shik,"['asylum', 'camera', 'insane asylum', 'crew', 'paranormal', 'psychiatric hospital', 'paranormal investigation', 'ghost', 'found footage', 'horror filmmaking', 'paranormal activity', 'haunted attractions', 'haunted hospital', 'terror', 'livestream']",https://image.tmdb.org/t/p/w500/KPrZ8lbgbMD7gr1pkMKoNbtcCK.jpg
458897,Charlie's Angels,"Elena Houghlin is a scientist, engineer and inventor of Calisto -- a sustainable energy source that will revolutionize the way people use power. It will be ready as soon as she works out the last issue, if not it could be turned into a dangerous weapon. But when the cutting edge technology is pushed to an investor before she can do that, Elena turns to the Townsend Agency for help. Now, it's up to the Angels -- Jane, Sabina, and the newly recruited Elena -- to retrieve Calisto before it can be transformed into a weapon of mass destruction.","['Action', 'Adventure', 'Comedy']",6.413,3004,2019-11-14,en,5.2248,False,118,48000000,73279888,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks', 'Patrick Stewart']",Elizabeth Banks,"['training', 'high technology', 'betrayal', 'female protagonist', 'scientist', 'agent', 'female agent', 'undercover operation', 'hamburg, germany', 'duringcreditsstinger', 'woman director', 'hand to hand combat', 'istanbul, turkey', 'new recruit', 'based on tv series']",https://image.tmdb.org/t/p/w500/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg
13002,Barbie in the 12 Dancing Princesses,"King Randolph sends for his cousin, Duchess Rowena, to help turn his daughters, Princess Genevieve and her eleven sisters, into royal material. But the Duchess strips the sisters of their fun, including their favorite pastime: dancing. When all hope may be lost, the sisters discover a secret passageway to a magical land where they can dance the night away.","['Animation', 'Family']",7.6,1194,2006-09-19,en,5.2243,False,82,0,0,"['Kelly Sheridan', ""Catherine O'Hara"", 'Christopher Gaze', 'Nicole Oliver', 'Jennifer Copping']",Greg Richardson,"['princess', 'dance', 'sibling relationship', 'ballet', 'based on toy', 'sister sister relationship']",https://image.tmdb.org/t/p/w500/yBB7PwXRFJ29U8m8SnTcWVizFvM.jpg
