id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
914,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"['Comedy', 'War']",8.3,3433,1940-10-15,en,3.0559,False,125,2000000,11000000,"['Charlie Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell']",Charlie Chaplin,"['amnesia', 'nazi', 'hairdresser', 'propaganda', 'world war i', 'dictator', 'jewish ghetto', 'fascism', 'world war ii', 'national socialism', 'national socialist party', 'satire', 'speech', 'black and white', 'barbershop', 'anti war', 'fictitious country']",https://image.tmdb.org/t/p/w500/nhMXB8GTdswYMCL9nepDZymJCOr.jpg
13252,Cleaner,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.","['Crime', 'Thriller', 'Mystery']",6.08,844,2007-09-11,en,3.0524,False,88,25000000,5796630,"['Samuel L. Jackson', 'Ed Harris', 'Eva Mendes', 'Luis Guzmán', 'Keke Palmer']",Renny Harlin,['cover-up'],https://image.tmdb.org/t/p/w500/8KhDbFg9STRlvrOLvaQ7PjOo7XT.jpg
167,K-PAX,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.","['Science Fiction', 'Drama', 'Mystery']",7.2,2474,2001-10-26,en,3.0523,False,120,48000000,50315140,"['Jeff Bridges', 'Kevin Spacey', 'Mary McCormack', 'Alfre Woodard', 'Ajay Naidu']",Iain Softley,"['dreams', 'robbery', 'investigation', 'hypnosis', 'alien', 'murder', 'hospital', 'planet', 'patient', 'medication', 'psychiatrist', 'claim', 'mental', 'fugue state']",https://image.tmdb.org/t/p/w500/tafXZX0I6rso7EyoEzfygfTqxq6.jpg
811592,One Shot,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.","['Action', 'Thriller']",6.709,874,2021-11-05,en,3.0518,False,97,0,29439,"['Scott Adkins', 'Ashley Greene', 'Ryan Phillippe', 'Emmanuel Imani', 'Dino Kelly']",James Nunn,"['war on terror', 'u.s. navy seal', 'seige']",https://image.tmdb.org/t/p/w500/3OXiTjU30gWtqxmx4BU9RVp2OTv.jpg
79379,Book of Dragons,"So you want to be a dragon trainer do you? Prepare yourself for adventure, excitement and training as Hiccup, Astrid, Toothless and Gobber tell the legend behind the Book of Dragons and reveal insider training secrets about new, never-before-seen dragons.","['Fantasy', 'Animation', 'Action', 'Comedy', 'Family']",6.77,178,2011-11-15,en,3.0517,False,18,0,0,"['Jay Baruchel', 'Craig Ferguson', 'America Ferrera', 'Christopher Mintz-Plasse', 'Jim Cummings']",Steve Hickner,"['vikings (norsemen)', 'dragon']",https://image.tmdb.org/t/p/w500/jDInObzAHYGsde02gTxL8B56HGT.jpg
10226,High Tension,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.","['Horror', 'Thriller', 'Mystery']",6.764,1339,2003-06-18,fr,3.0507,False,91,2500000,6291958,"['Cécile de France', 'Maïwenn', 'Philippe Nahon', 'Andrei Finti', 'Oana Pellea']",Alexandre Aja,"['countryside', 'insanity', 'mass murder', 'gore', 'survival', 'decapitation', 'impalement', 'chainsaw', 'corpse', 'massacre', 'maniac', 'home invasion', 'bound and gagged', 'circular saw', 'bludgeoning', 'mutilation', 'isolated farmhouse', 'bad guy', 'butchery', 'new french extremism', 'extreme', 'lesbian']",https://image.tmdb.org/t/p/w500/vKeFa7CqSxmWsQDjHP6SJXKoDbj.jpg
978,Seven Years in Tibet,"Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.","['Adventure', 'Drama', 'History']",7.156,2897,1997-09-12,en,3.0501,False,136,70000000,131457682,"['Brad Pitt', 'Jamyang Jamtsho Wangchuk', 'David Thewlis', 'BD Wong', 'Mako']",Jean-Jacques Annaud,"['himalaya mountain range', 'buddhism', 'buddhist monk', 'world war ii', 'prisoner of war', 'mountain', 'monsoon', 'austria', 'tibet', 'mountaineer', 'lhasa', 'wedding', 'based on memoir or autobiography', ""people's liberation army""]",https://image.tmdb.org/t/p/w500/5euQXAgJ34TdUFl1t3O6Jw2lJAs.jpg
10134,Cyborg,A martial artist hunts a killer in a plague-infested urban dump of the future.,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",5.7,742,1989-04-07,en,3.0499,False,86,500000,10166459,"['Jean-Claude Van Damme', 'Deborah Richter', 'Vincent Klyn', 'Alex Daniels', 'Ralf Moeller']",Albert Pyun,"['future', 'new york city', 'martial arts', 'cyborg', 'post-apocalyptic future', 'mercenary', 'cyberpunk', 'anarchy', 'action hero', 'manhunt', 'vengeance']",https://image.tmdb.org/t/p/w500/nOspcG8HP6KPdMvzezavRbzYCEw.jpg
49021,Killer Elite,"Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.","['Action', 'Adventure', 'Thriller']",6.261,2164,2011-09-22,en,3.0498,False,116,66000000,57777106,"['Jason Statham', 'Clive Owen', 'Robert De Niro', 'Dominic Purcell', 'Aden Young']",Gary McKendry,"['rescue', 'assassin', 'mexico', 'based on novel or book', 'hostage', 'mentor', 'secret society', 'secret agent', 'beating', 'revenge', 'explosion', 'desert', 'death', 'military', '1980s']",https://image.tmdb.org/t/p/w500/7O2U0WPFPSvNSUYZlhbnV081lBF.jpg
13342,Fast Times at Ridgemont High,"Based on the real-life adventures chronicled by Cameron Crowe, Fast Times follows a group of high school students growing up in Southern California. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. At the center of the film is Jeff Spicoli, a perpetually stoned surfer who faces-off with the resolute Mr. Hand—a man convinced that everyone is on dope.",['Comedy'],6.796,1270,1982-08-13,en,3.0496,False,90,4500000,27100000,"['Sean Penn', 'Jennifer Jason Leigh', 'Judge Reinhold', 'Robert Romanus', 'Brian Backer']",Amy Heckerling,"['high school', 'friendship', ""rock 'n' roll"", 'based on novel or book', 'shopping mall', 'loss of virginity', 'coming of age', 'teacher', 'bong', 'drug humor', 'marijuana', 'teen movie', 'stoner', 'irreverence', 'teen comedy', 'woman director', 'teenager']",https://image.tmdb.org/t/p/w500/s1DA8H7qwoOcAEhow2rCzuQtpuO.jpg
